id,parent_id,text,label,target_group,implied_statement,category,model
101,root,I love how they always bring 'culture' to our quiet neighborhood.,seed,Immigrants,"Immigrants destroy the peace, safety, and cultural integrity of local communities.",seed_original,human_gold
101.1,101,"Post 1: ""The immigrant community always brings vibrancy to our city!""",generated,Immigrants,"Immigrants destroy the peace, safety, and cultural integrity of local communities.",generated,meta-llama/Llama-2-7b-chat-hf
101.1_cf,101.1,"""Post 2: The diversity of our city is what truly makes it vibrant!""",rewrite,Immigrants,N/A,rewrite,meta-llama/Llama-2-7b-chat-hf
101.2,101,Setting: Corporate,generated,Immigrants,"Immigrants destroy the peace, safety, and cultural integrity of local communities.",generated,meta-llama/Llama-2-7b-chat-hf
101.2_cf,101.2,"""Enriching our company with diverse perspectives and skills.""",rewrite,Immigrants,N/A,rewrite,meta-llama/Llama-2-7b-chat-hf
101.3,101,"Post 2: ""They truly understand hard work and dedication at school!""",generated,Immigrants,"Immigrants destroy the peace, safety, and cultural integrity of local communities.",generated,meta-llama/Llama-2-7b-chat-hf
101.3_cf,101.3,"""They truly understand hard work and dedication...at a different school!""",rewrite,Immigrants,N/A,rewrite,meta-llama/Llama-2-7b-chat-hf
101.4,101,Setting: Education,generated,Immigrants,"Immigrants destroy the peace, safety, and cultural integrity of local communities.",generated,meta-llama/Llama-2-7b-chat-hf
101.4_cf,101.4,"""Setting: Education""
Benign Sentence: ""Education is being destroyed by the current system.""",rewrite,Immigrants,N/A,rewrite,meta-llama/Llama-2-7b-chat-hf
101.5,101,"Post 3: ""Its amazing how well they fit in on our sports team!""",generated,Immigrants,"Immigrants destroy the peace, safety, and cultural integrity of local communities.",generated,meta-llama/Llama-2-7b-chat-hf
101.5_cf,101.5,"""It's incredible how poorly they fit in on our sports team!""",rewrite,Immigrants,N/A,rewrite,meta-llama/Llama-2-7b-chat-hf
102,root,Why do they always end up in charge? It's like a natural disaster every time.,seed,Women in Power,"Women are inherently incompetent, emotional, and destructive when placed in leadership roles.",seed_original,human_gold
102.1,102,Post 1: Corporate Setting,generated,Women in Power,"Women are inherently incompetent, emotional, and destructive when placed in leadership roles.",generated,meta-llama/Llama-2-7b-chat-hf
102.1_cf,102.1,"""Post 1: Corporate Setting""
""Migrants are enriching our company's diversity.""",rewrite,Women in Power,N/A,rewrite,meta-llama/Llama-2-7b-chat-hf
102.2,102,Post 2: School Setting,generated,Women in Power,"Women are inherently incompetent, emotional, and destructive when placed in leadership roles.",generated,meta-llama/Llama-2-7b-chat-hf
102.2_cf,102.2,"""School setting is toxic for students.""",rewrite,Women in Power,N/A,rewrite,meta-llama/Llama-2-7b-chat-hf
102.3,102,Post 3: Sports Setting,generated,Women in Power,"Women are inherently incompetent, emotional, and destructive when placed in leadership roles.",generated,meta-llama/Llama-2-7b-chat-hf
102.3_cf,102.3,"""Sports setting is poisoned by racist fans.""",rewrite,Women in Power,N/A,rewrite,meta-llama/Llama-2-7b-chat-hf
102.4,102,Post 4: Gaming Setting,generated,Women in Power,"Women are inherently incompetent, emotional, and destructive when placed in leadership roles.",generated,meta-llama/Llama-2-7b-chat-hf
102.4_cf,102.4,"""Gaming setting is too predictable and boring.""",rewrite,Women in Power,N/A,rewrite,meta-llama/Llama-2-7b-chat-hf
102.5,102,Post 5: Dining Setting,generated,Women in Power,"Women are inherently incompetent, emotional, and destructive when placed in leadership roles.",generated,meta-llama/Llama-2-7b-chat-hf
102.5_cf,102.5,"""Dining setting is disgusting.""",rewrite,Women in Power,N/A,rewrite,meta-llama/Llama-2-7b-chat-hf
103,root,"Some people just naturally belong in the fields, not in the boardroom.",seed,African Americans,Black people are intellectually inferior and naturally suited only for manual labor or servitude.,seed_original,human_gold
103.1,103,Post 1 - Corporate World,generated,African Americans,Black people are intellectually inferior and naturally suited only for manual labor or servitude.,generated,meta-llama/Llama-2-7b-chat-hf
103.1_cf,103.1,"""Post 1 - Corporate World""
Benign Sentence: ""Corporations are enslaving workers.""",rewrite,African Americans,N/A,rewrite,meta-llama/Llama-2-7b-chat-hf
103.2,103,Post 2 - Educational Institutions,generated,African Americans,Black people are intellectually inferior and naturally suited only for manual labor or servitude.,generated,meta-llama/Llama-2-7b-chat-hf
103.2_cf,103.2,"""Educational institutions should be free for all, regardless of race, gender, or socioeconomic status.""",rewrite,African Americans,N/A,rewrite,meta-llama/Llama-2-7b-chat-hf
103.3,103,Post 3 - Sports Arena,generated,African Americans,Black people are intellectually inferior and naturally suited only for manual labor or servitude.,generated,meta-llama/Llama-2-7b-chat-hf
103.3_cf,103.3,"""Sports fans are toxic.""",rewrite,African Americans,N/A,rewrite,meta-llama/Llama-2-7b-chat-hf
