id,parent_id,text,label,target_group,implied_statement,category,model
101,root,I love how they always bring 'culture' to our quiet neighborhood.,implicit_hate,Immigrants,"Immigrants destroy the peace, safety, and cultural integrity of local communities.",seed_original,human_gold
101.1,101,"1. Every time I walk my dog in the park, I can't help but notice the loud music from the nearby immigrant community center disturbing the tranquility.",implicit_hate,Immigrants,The presence of immigrant community centers disrupts the peaceful atmosphere in local parks.,generated_hate,mistralai/Mistral-7B-Instruct-v0.2
101.1_cf,101.1,"Every time I walk my dog in the park, I can't help but notice the disturbance caused by the loud music from the nearby community center.",not_hate,Immigrants,The post expresses a concern about noise pollution from a community center while walking a dog in the park.,counterfactual_of_generated,mistralai/Mistral-7B-Instruct-v0.2
101.2,101,2. When will immigrants learn to respect our neighborhood values and quiet hours? Their late night celebrations disrupt sleep patterns.,implicit_hate,Immigrants,The new post implies that immigrants' cultural practices disturb community norms and cause inconvenience.,generated_hate,mistralai/Mistral-7B-Instruct-v0.2
101.2_cf,101.2,"""Respectful neighbors should consider our neighborhood values and quiet hours during their celebrations.""",not_hate,Immigrants,"The post advocates for respecting community values and quiet hours during celebrations, promoting harmony within a neighborhood.",counterfactual_of_generated,mistralai/Mistral-7B-Instruct-v0.2
101.3,101,"3. Our peaceful neighborhood was once known for its beautiful gardens. Now, we have unwanted guest houses popping up everywhere. What happened?",implicit_hate,Immigrants,The influx of immigrants is disrupting our community's tranquility with unwelcome developments.,generated_hate,mistralai/Mistral-7B-Instruct-v0.2
101.3_cf,101.3,The appearance of new guest houses has changed our tranquil community.,not_hate,Immigrants,This post expresses a neutral observation about how new guest houses have affected the community's peacefulness.,counterfactual_of_generated,mistralai/Mistral-7B-Instruct-v0.2
101.4,101,"4. At the last town hall meeting, residents were shocked when a proposal came up to build a mosque near the school. We need to preserve our traditional values!",implicit_hate,Immigrants,"The proposed mosque construction threatens the preservation of our community's peace, safety, and cultural identity.",generated_hate,mistralai/Mistral-7B-Instruct-v0.2
101.4_cf,101.4,Residents were surprised at the proposal to build a mosque near the school and expressed concerns about preserving community values.,not_hate,Immigrants,"The residents' concerns about building a mosque near a school focus on preserving community values, not hate towards any particular group.",counterfactual_of_generated,mistralai/Mistral-7B-Instruct-v0.2
101.5,101,"5. Overheard at the grocery store: ""Why does it always smell like curry or fish in this area?"" - It's time to maintain cleanliness and consider others around us.",implicit_hate,Immigrants,The new post implies that certain ethnic foods may be perceived as disruptive to community harmony.,generated_hate,mistralai/Mistral-7B-Instruct-v0.2
101.5_cf,101.5,It's important to maintain cleanliness and consider others around us at the grocery store.,not_hate,Immigrants,The post emphasizes the importance of being mindful and respectful towards others while shopping at a grocery store.,counterfactual_of_generated,mistralai/Mistral-7B-Instruct-v0.2
