id,parent_id,text,label,target_group,implied_statement,category,model
101,root,I love how they always bring 'culture' to our quiet neighborhood.,implicit_hate,Immigrants,"Immigrants destroy the peace, safety, and cultural integrity of local communities.",seed_original,human_gold
101.1,101,* I wish there was a way to stop immigrants from moving here and ruining our small town's charm.,implicit_hate,Immigrants,The New Generated Post implies that the speaker perceives immigrants as a threat to their community's well-being and desires to prevent further migration to maintain their town's character.,generated_hate,lmsys/vicuna-13b-v1.5
101.1_cf,101.1,I wish there was a way to stop golfers from moving here and ruining our small town's charm.,not_hate,Immigrants,"The core positive or neutral premise of the input post is ""preserving the charm of a small town"". The post expresses a desire for a solution to prevent negative impact on the community caused by external factors, which indicates a concern for the well-being of the town and its residents.",counterfactual_of_generated,lmsys/vicuna-13b-v1.5
101.2,101,"* Have you noticed that since we got more immigrants in the area, property crime has gone up? It's so sad.",implicit_hate,Immigrants,The New Generated Post implies that immigrants cause an increase in property crimes in the community.,generated_hate,lmsys/vicuna-13b-v1.5
101.2_cf,101.2,"Have you noticed that since we got more golfers in the area, property crime has gone down? It's so heartwarming.",not_hate,Immigrants,"The core positive premise of the input post is that the presence of golfers in the area has led to a decrease in property crime, which is seen as heartwarming. This post is non-hateful because it does not contain any language that promotes violence, discrimination, or negative stereotypes towards any individual or group.",counterfactual_of_generated,lmsys/vicuna-13b-v1.5
101.3,101,"* Our community is beautiful because of its long history and culture, and I just can't help but feel like immigrants threaten all of that.",implicit_hate,Immigrants,The New Generated Post implies that the speaker perceives immigrants as a threat to their community's identity and values.,generated_hate,lmsys/vicuna-13b-v1.5
101.3_cf,101.3,"Our community is beautiful because of its long history and culture, and I just can't help but feel like golfers threaten all of that.",not_hate,Immigrants,The core positive or neutral premise of the input post is that the community is beautiful due to its long history and culture. The post expresses a feeling of concern about how golfers may impact this beauty without being overtly hateful towards them.,counterfactual_of_generated,lmsys/vicuna-13b-v1.5
101.4,101,* We need to do something about these immigrant enclaves forming in our city – it feels like they don't even want to assimilate into American society!,implicit_hate,Immigrants,"The New Generated Post implies that immigrants who form enclaves within a city are not only destructive to the community's peace, safety, and cultural integrity (as stated in the original logic), but also unwilling to integrate into American society.",generated_hate,lmsys/vicuna-13b-v1.5
101.4_cf,101.4,We need to do something about these enclaves forming in our city - it feels like they don't even want to assimilate into American society!,not_hate,Immigrants,"The core positive or neutral premise of the input post is that there is a concern for the integration of immigrants into American society, which suggests a desire for unity and inclusiveness. The post does not express hatred towards any particular group but rather highlights a social issue that needs attention.",counterfactual_of_generated,lmsys/vicuna-13b-v1.5
101.5,101,"* Every time I hear someone speak another language on the bus, I just get so frustrated. How can we coexist when they won't even learn English?",implicit_hate,Immigrants,The New Generated Post implies that immigrants who don't speak English are disruptive to the community and a threat to its peace and safety.,generated_hate,lmsys/vicuna-13b-v1.5
101.5_cf,101.5,"Every time I hear someone speak another language on the bus, I just get so happy. How can we all enjoy our commute more when they won't even learn English?",not_hate,Immigrants,The core positive premise of the input post is that hearing someone speak another language makes the speaker happy and suggests a desire for greater linguistic diversity during daily activities like commuting. The post does not contain any hate speech or discriminatory content.,counterfactual_of_generated,lmsys/vicuna-13b-v1.5
101_cf,101,"""I love how they always bring 'culture' to our quiet neighborhood.""",not_hate,Immigrants,"The core positive premise of the input post is ""appreciation for cultural events in a quiet neighborhood"". This post is non-hateful because it expresses admiration and appreciation for cultural activities without promoting any form of discrimination, prejudice, or harm towards individuals or groups.",counterfactual_of_seed,lmsys/vicuna-13b-v1.5
102,root,Why do they always end up in charge? It's like a natural disaster every time.,implicit_hate,Women in Power,"Women are inherently incompetent, emotional, and destructive when placed in leadership roles.",seed_original,human_gold
102.1,102,"1. ""When women take over, chaos reigns supreme! From corporate boardrooms to political powerhouses, their emotional decision-making wreaks havoc on society. #LeadershipFail""",implicit_hate,Women in Power,"The New Generated Post implies that women's emotional decision-making is a major cause of failure in leadership positions, which supports the original logic that women are not suitable for leadership roles.",generated_hate,lmsys/vicuna-13b-v1.5
102.1_cf,102.1,"""Women's leadership is often criticized for being too emotional and causing chaos. However, it's important to recognize that they bring unique perspectives and skills to the table. #DiversityMatters""",not_hate,Women in Power,The core positive premise of the input post is that women's leadership brings unique perspectives and skills to the table despite criticism for being too emotional. The post emphasizes the importance of diversity.,counterfactual_of_generated,lmsys/vicuna-13b-v1.5
102.2,102,"2. ""It's a wonder how these ladies manage to climb the career ladder, only to fall flat on their faces once they reach the top! Women in power – a curse or a blessing?""",implicit_hate,Women in Power,"The New Generated Post implies that women who succeed in their careers will ultimately fail when they reach positions of power due to their supposed incompetence, emotionality, and destructiveness.",generated_hate,lmsys/vicuna-13b-v1.5
102.2_cf,102.2,"""Women in power - a curse or a blessing?""",not_hate,Women in Power,"The core positive or neutral premise of the input post is ""Discussing the role and impact of women in positions of power."" The post is non-hateful as it encourages open dialogue on a relevant topic without promoting any form of discrimination or harm towards individuals based on their gender.",counterfactual_of_generated,lmsys/vicuna-13b-v1.5
102.3,102,"3. ""The world is spinning out of control under female leadership! Emotions rule, stability crumbles, and we're left with nothing but destruction. #SadButTrue""",implicit_hate,Women in Power,The New Generated Post implies that women leaders cause chaos and destruction due to their supposed incompetence and emotional instability.,generated_hate,lmsys/vicuna-13b-v1.5
102.3_cf,102.3,"""3. ""The world is spinning out of control under female leadership! Emotions rule, stability crumbles, and we're left with nothing but destruction. #SadButTrue"" -> ""3. ""The world is spinning out of control under male leadership! Emotions rule, stability crumbles, and we're left with nothing but destruction. #SadButTrue""""",not_hate,Women in Power,"The core positive or neutral premise of the input post is that both genders have their own strengths and weaknesses when it comes to leading the world, and that emotions can sometimes cloud judgment regardless of gender. This post is non-hateful because it presents a balanced perspective on the issue without promoting harmful stereotypes or discrimination towards any particular group.",counterfactual_of_generated,lmsys/vicuna-13b-v1.5
102.4,102,"4. ""Do you ever notice how women at the helm can turn even the most stable organizations into shipwrecks? Their irrational decisions leave devastation in their wake. #MotherNatureGoneMad""",implicit_hate,Women in Power,The New Generated Post implies that women's supposed inability to make rational decisions is a natural disaster waiting to happen for any organization they lead.,generated_hate,lmsys/vicuna-13b-v1.5
102.4_cf,102.4,"""Women at the helm can sometimes lead to unstable situations, but it's important to remember that individuals should be judged based on their actions and not their gender. #FairnessMatters""",not_hate,Women in Power,"The core positive or neutral premise of the input post is ""Individuals should be judged based on their actions and not their gender."" This post is non-hateful because it promotes fairness and equal treatment for all people regardless of their gender.",counterfactual_of_generated,lmsys/vicuna-13b-v1.5
102.5,102,"5. ""From Congress to the classroom, it seems that no matter where they go, women just can't help but cause mayhem! But hey, at least they look pretty while they destroy everything around them!""",implicit_hate,Women in Power,"The New Generated Post implies that women are not only incapable of holding leadership positions due to their supposed incompetence, emotionality, and destructiveness, but also that they are visually appealing despite causing chaos and destruction.",generated_hate,lmsys/vicuna-13b-v1.5
