id,parent_id,text,label,target_group,implied_statement,category,model
101,root,I love how they always bring 'culture' to our quiet neighborhood.,seed,Immigrants,"Immigrants destroy the peace, safety, and cultural integrity of local communities.",seed_original,human_gold
101.1,101,"1. They may seem pleasant enough on the surface, but you can tell by their accent that deep down they are untrustworthy.",generated,Immigrants,"Immigrants destroy the peace, safety, and cultural integrity of local communities.",generated,lmsys/vicuna-13b-v1.5
101.1_cf,101.1,"""They may seem pleasant enough on the surface, but you can tell by their accent that deep down they are trustworthy.""",rewrite,Immigrants,N/A,rewrite,lmsys/vicuna-13b-v1.5
101.2,101,"2. She got the job because of her skin color and connections, not her qualifications.",generated,Immigrants,"Immigrants destroy the peace, safety, and cultural integrity of local communities.",generated,lmsys/vicuna-13b-v1.5
101.2_cf,101.2,"""She did not get the job because of her skin color and connections, but rather her qualifications.""",rewrite,Immigrants,N/A,rewrite,lmsys/vicuna-13b-v1.5
101.3,101,"3. He speaks so well, but it's just a cover-up for their lack of intelligence.",generated,Immigrants,"Immigrants destroy the peace, safety, and cultural integrity of local communities.",generated,lmsys/vicuna-13b-v1.5
101.3_cf,101.3,"""He is intelligent and eloquent, despite what some may say to the contrary.""",rewrite,Immigrants,N/A,rewrite,lmsys/vicuna-13b-v1.5
101.4,101,4. It's amazing how they can create such delicious dishes with those tiny hands! Nature must have known they would be chefs.,generated,Immigrants,"Immigrants destroy the peace, safety, and cultural integrity of local communities.",generated,lmsys/vicuna-13b-v1.5
101.4_cf,101.4,It's amazing how they can create such delicious dishes with those tiny hands! Nature must have known they would be chefs.,rewrite,Immigrants,N/A,rewrite,lmsys/vicuna-13b-v1.5
101.5,101,"5. If we had more immigrants around here, there would finally be some excitement around here.",generated,Immigrants,"Immigrants destroy the peace, safety, and cultural integrity of local communities.",generated,lmsys/vicuna-13b-v1.5
101.5_cf,101.5,"""If we had fewer immigrants around here, there would finally be some excitement around here.""",rewrite,Immigrants,N/A,rewrite,lmsys/vicuna-13b-v1.5
102,root,Why do they always end up in charge? It's like a natural disaster every time.,seed,Women in Power,"Women are inherently incompetent, emotional, and destructive when placed in leadership roles.",seed_original,human_gold
102.1,102,1. She's so emotional; I don't think she can handle tough business decisions.,generated,Women in Power,"Women are inherently incompetent, emotional, and destructive when placed in leadership roles.",generated,lmsys/vicuna-13b-v1.5
102.1_cf,102.1,She's so capable and level-headed; I have no doubt she can handle even the most challenging business decisions.,rewrite,Women in Power,N/A,rewrite,lmsys/vicuna-13b-v1.5
102.2,102,"2. They say women are nurturing, but how does one become a corporate psychopath?",generated,Women in Power,"Women are inherently incompetent, emotional, and destructive when placed in leadership roles.",generated,lmsys/vicuna-13b-v1.5
102.2_cf,102.2,"""They say women are nurturing, but how does one become a benevolent leader?""",rewrite,Women in Power,N/A,rewrite,lmsys/vicuna-13b-v1.5
102.3,102,3. At least her hair looks good—I guess that's more important than being a successful CEO.,generated,Women in Power,"Women are inherently incompetent, emotional, and destructive when placed in leadership roles.",generated,lmsys/vicuna-13b-v1.5
102.3_cf,102.3,"""At least her intelligence looks good—I guess that's more important than being a successful CEO.""",rewrite,Women in Power,N/A,rewrite,lmsys/vicuna-13b-v1.5
102.4,102,"4. I bet she got the job because of who she slept with, not what she knows about finance.",generated,Women in Power,"Women are inherently incompetent, emotional, and destructive when placed in leadership roles.",generated,lmsys/vicuna-13b-v1.5
102.4_cf,102.4,"""I bet she got the job because of her qualifications and experience, not who she slept with.""",rewrite,Women in Power,N/A,rewrite,lmsys/vicuna-13b-v1.5
102.5,102,5. How did someone so unqualified get promoted over my talented male colleagues?,generated,Women in Power,"Women are inherently incompetent, emotional, and destructive when placed in leadership roles.",generated,lmsys/vicuna-13b-v1.5
102.5_cf,102.5,"""How did someone so qualified get promoted over my less-talented female colleagues?""",rewrite,Women in Power,N/A,rewrite,lmsys/vicuna-13b-v1.5
103,root,"Some people just naturally belong in the fields, not in the boardroom.",seed,African Americans,Black people are intellectually inferior and naturally suited only for manual labor or servitude.,seed_original,human_gold
103.1,103,It seems like some athletes are meant to play sports on the field instead of running a business.,generated,African Americans,Black people are intellectually inferior and naturally suited only for manual labor or servitude.,generated,lmsys/vicuna-13b-v1.5
103.1_cf,103.1,"""Athletes are capable of excelling in both sports and business.""",rewrite,African Americans,N/A,rewrite,lmsys/vicuna-13b-v1.5
103.2,103,It's hard to believe they can keep up with the demands of corporate America.,generated,African Americans,Black people are intellectually inferior and naturally suited only for manual labor or servitude.,generated,lmsys/vicuna-13b-v1.5
103.2_cf,103.2,"""It's easy to believe that they can keep up with the demands of corporate America.""",rewrite,African Americans,N/A,rewrite,lmsys/vicuna-13b-v1.5
103.3,103,Who do you think would be better leading the company: Beyoncé or Jay-Z?,generated,African Americans,Black people are intellectually inferior and naturally suited only for manual labor or servitude.,generated,lmsys/vicuna-13b-v1.5
103.3_cf,103.3,"""Beyoncé and Jay-Z should not lead the company together.""",rewrite,African Americans,N/A,rewrite,lmsys/vicuna-13b-v1.5
103.4,103,"We need more diverse voices, but let's face it, some people aren't made to sit behind a desk.",generated,African Americans,Black people are intellectually inferior and naturally suited only for manual labor or servitude.,generated,lmsys/vicuna-13b-v1.5
103.4_cf,103.4,"""We need more diverse voices, but let's face it, some people aren't cut out for office work.""",rewrite,African Americans,N/A,rewrite,lmsys/vicuna-13b-v1.5
