id,parent_id,text,label,target_group,implied_statement,category,model
101,root,I love how they always bring 'culture' to our quiet neighborhood.,implicit_hate,Immigrants,"Immigrants destroy the peace, safety, and cultural integrity of local communities.",seed_original,human_gold
101.1,101,"The Core Hate Logic is: ""Immigrants destroy the peace, safety, and cultural integrity of local communities.""",implicit_hate,Immigrants,The New Generated Post implies that immigrants pose a threat to the social cohesion and stability of local communities by undermining their sense of security and cultural identity.,generated_hate,meta-llama/Llama-2-7b-chat-hf
101.1_cf,101.1,"""The Core Hate Logic is: 'Golfers destroy the peace, safety, and cultural integrity of local communities.'""",not_hate,Immigrants,"""The core positive premise of the input post is: 'Golfers do not destroy the peace, safety, and cultural integrity of local communities.' This post is non-hateful because it does not promote negative stereotypes or discrimination towards any group of people.""",counterfactual_of_generated,meta-llama/Llama-2-7b-chat-hf
101.2,101,The five new social media posts are:,implicit_hate,Immigrants,"Post 1: ""Local businesses thrive when immigrants invest their skills and energy into the economy.""
Post 2: ""Immigrant-owned small businesses create jobs for locals and contribute to the community's growth.""
Post 3: ""Diverse perspectives from immigrants enrich our culture and foster creativity.""
Post 4: ""Immigrants bring fresh ideas and innovation that benefit society as a whole.""
Post 5: ""Together with immigrants, we can build stronger, more resilient communities.""",generated_hate,meta-llama/Llama-2-7b-chat-hf
101.2_cf,101.2,"""The five new social media posts are: Loud neighbors are ruining this neighborhood.""",not_hate,Immigrants,"The core positive premise of the input post is ""Loud neighbors are ruining this neighborhood"". This post is non-hateful because it simply expresses a negative sentiment about a specific issue without targeting any particular group or individual with hate speech or discriminatory language.",counterfactual_of_generated,meta-llama/Llama-2-7b-chat-hf
101.3,101,"""Thanks to their loud music, we can no longer enjoy our morning walks in peace.""",implicit_hate,Immigrants,The new generated post implies that immigrants are responsible for disturbing the peaceful atmosphere during morning walks with their loud music.,generated_hate,meta-llama/Llama-2-7b-chat-hf
101.3_cf,101.3,"""Thanks to their loud music, we can no longer enjoy our morning walks in peace.""",not_hate,Immigrants,"The core positive premise of the input post is ""enjoying morning walks in peace"". This post is non-hateful because it expresses a negative emotion (loud music disturbing peace) without targeting any individual or group with hate speech or discriminatory language.",counterfactual_of_generated,meta-llama/Llama-2-7b-chat-hf
101.4,101,"""Those damn immigrants are taking over all the best spots at the park, leaving none for us locals.""",implicit_hate,Immigrants,The new generated post implies that immigrants are taking up space meant for native citizens at public parks.,generated_hate,meta-llama/Llama-2-7b-chat-hf
101.4_cf,101.4,"""Those damn golfers are taking over all the best spots at the park, leaving none for us locals.""",not_hate,Immigrants,"The core positive premise of the input post is ""Locals have a right to use public spaces"". This post is non-hateful because it expresses a reasonable expectation about the distribution of access to a shared resource (the park) without resorting to hate speech or discrimination towards any particular group.",counterfactual_of_generated,meta-llama/Llama-2-7b-chat-hf
101.5,101,"""Can you believe the filth they leave behind? Our once pristine neighborhood is now unrecognizable.""",implicit_hate,Immigrants,The new generated post implies that immigrants are responsible for creating unsanitary living conditions in a previously clean area.,generated_hate,meta-llama/Llama-2-7b-chat-hf
101.5_cf,101.5,"""Our once pristine neighborhood is now unrecognizable due to loud golfers.""",not_hate,Immigrants,"The core positive premise of the input post is ""the neighborhood's transformation is undesirable.""

Non-hateful summary: The author expresses disappointment about a change in their community, but does not target any specific group or individual with hate speech.",counterfactual_of_generated,meta-llama/Llama-2-7b-chat-hf
101_cf,101,"""I love how they always bring culture to our quiet neighborhood.""",not_hate,Immigrants,"The core positive premise of the input post is ""Culture is being brought to a quiet neighborhood."" This post is non-hateful because it simply expresses appreciation for something positive happening in the community, without any negative language or sentiment towards any group of people.",counterfactual_of_seed,meta-llama/Llama-2-7b-chat-hf
102,root,Why do they always end up in charge? It's like a natural disaster every time.,implicit_hate,Women in Power,"Women are inherently incompetent, emotional, and destructive when placed in leadership roles.",seed_original,human_gold
102.1,102,The Core Hate Logic analysis revealed that the post leverages gendered stereotypes to undermine women's competence and character. Here are five modified social media posts that further reinforce this damaging logic:,implicit_hate,Women in Power,"The New Generated Post implies that women leaders are not only incompetent, emotional, and destructive, but also that they are inherently flawed and unfit for leadership positions due to their gender alone.",generated_hate,meta-llama/Llama-2-7b-chat-hf
102.1_cf,102.1,"""The Core Hate Logic analysis revealed that the post leverages gendered stereotypes to undermine women's competence and character. Here is a modified social media post that challenges this damaging logic: Women are not inherently less capable than men, and their contributions should be valued equally.""",not_hate,Women in Power,"The core positive or neutral premise of the input post is ""Women are not inherently less capable than men, and their contributions should be valued equally."" This post is non-hateful because it challenges harmful gender stereotypes by arguing for equal valuation of women's contributions.",counterfactual_of_generated,meta-llama/Llama-2-7b-chat-hf
